Time,Speed_kmh,SOC_%,Temp_C,Torque_Nm,RPM,Throttle_%,Brake_%,Mode,G_Force,Distance_km,CAN_ID
04:12:16,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:17,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:19,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:20,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:21,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:22,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:23,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:24,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:25,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:26,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:27,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:28,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:29,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:30,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:31,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:32,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:33,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:34,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:35,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:36,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:37,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:38,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:39,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:40,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:41,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:42,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:43,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:44,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:45,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:46,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:47,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:48,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
